Title,Product URL,Image URL,Common Name,Care Level,Maximum Size,pH,Temperature,Life Span,Behaviour,Tank Region,Gender
Congo Tetra,https://eastoceansg.com/products/congo-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/CongoTetra.jpg?v=1647592506,Congo Tetra,Easy-Medium,"Males get to 7.6 cm, females are a little smaller",6 - 6.5,24°C - 27°C,"3 - 5 years, possibly longer","Peaceful and tolerant, may nip at delicate and succulent plants. Just don't keep with fish that are robust, hyperactive, and aggressive.",Middle to top,The males have a long dorsal fin and are a little bigger then the females. The females get fuller in the middle when they are mature because they are holding eggs.
Wakin Goldfish ( 3 inches),https://eastoceansg.com/products/wakin-goldfish-3-inches,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/1702379908255.jpg?v=1702380061,"Black Moor, Lionhead, Ranchu, Oranda, Ryukin, Panda, etc.",Easy - Moderate depending on variety,"Usually 8 - 13 cm, but can be bigger",6 - 7.5,5°C - 27°C,10 - 30 years and often longer,Very peaceful,All over the tank,Males may have small white spots calledtuberclesaround their gill areas when ready to spawn. Females may be noticeably larger when swelling with eggs and the males may start to chase the females around the tank.
Starlight Pleco,https://eastoceansg.com/products/starlight-pleco,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/StarlightPleco.jpg?v=1647842100,White Seam Bristlenose Pleco,Easy,10 - 15 cm,5 - 7,26°C - 30°C,8 - 10 years,"Generally solitary, but will socialize somewhat, especially during breeding.",Bottom-dwellers,"Both sexes grow the appendages, but the growth and length is much more pronounced in males."
Green Neon Tetra,https://eastoceansg.com/products/green-neon-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/GreenNeonTetra.jpg?v=1647593700,False Neon Tetra,Easy,up to 2 cm,5.5 - 6,23°C - 27°C,"2 - 3 years, possibly longer",The Green Neon Tetra gets big and needs to be kept with similar sized species in a large aquarium,Middle to upper levels,Not sure how to tell males from female
Harlequin Rasbora,https://eastoceansg.com/products/harlequin-rasbora-10-pcs,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/H.ras_a5d666c4-d594-4ba1-9f14-533f2c3ad92f.jpg?v=1647686580,"Red Rasbora, Harlequin Fish",Easy - Moderate,5 cm,5.5 - 7,22°C - 27°C,3 - 5 years,Very peaceful,Middle to top,Females are usually larger
Lamp eye Killi Fish,https://eastoceansg.com/products/lamp-eye,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/lampeye_5d85e681-e9ae-4734-8679-b03a53a604a7.jpg?v=1647687069,Lampeye Killifish,Easy,3 - 4 cm,6.5 - 7,23°C - 26°C,2 - 5 years,Peaceful and timid. Must be kept in schools of 6 or more.,Top,Males fins may be slightly more pointed the females
Panda Loach,https://eastoceansg.com/products/panda-loach,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/PANloachcopy_63495f89-ecc5-465b-9a3d-4082a6b92944.jpg?v=1647685620,Panda Loach,Intermediate,5 - 6 cm,6.5 - 7.5,20°C - 23.9°C,years,"Peaceful. Juveniles appear solitary, but adults exhibit schooling behavior.",Bottom dwellers,The female panda cory is larger and has a more rounded underbelly; females are much wider than the male when viewed from above. Often the rounded belly of the female causes their head to sit a bit off the bottom of the tank. Males are sleeker and shorter in length than females.
Dwarf Neon Rainbowfish,https://eastoceansg.com/products/neon-rainbow-tetra,https://cdn.shopify.com/s/files/1/0430/9870/1992/products/NeonRainbowTetra.jpg?v=1647595026,"Dwarf neon rainbowfish, Neon rainbowfish, Dwarf rainbowfish, Praecox rainbowfish",Moderate,6 cm,6 - 8,22°C - 28°C,"Dwarf Neon Rainbowfish can live up to five years in good conditions. On average, they tend to live around 3 years, but that number is very dependent on the care they receive.","Schooling, should be kept in as large of groups as possible. Dominant males may attack or kill subdominant males in small aquariums. Peaceful with most other comparably-sized fish.",Middle/Top,"Males have red fins, Females have yellow and sometimes deep orange fins."
Boesemani Rainbowfish,https://eastoceansg.com/products/boesemani-rainbowfish,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/PXL-20231102_100141277_2.jpg?v=1698993661,Boeseman's rainbowfish,Easy,8 - 11 cm,6 - 8,27 - 30°C,3 - 5 years,Very peaceful,Middle,Maturemales are larger and exhibit brighter colouration than females. They also develop a much deeper body than females as they grow.
Balloon Gourami,https://eastoceansg.com/products/balloon-gourami,https://cdn.shopify.com/s/files/1/0430/9870/1992/files/Screenshot-2024-01-27-16-50-59-922_com.google.android.googlequicksearchbox_2.jpg?v=1706345811,"Blue, Sunset Gourami, Powder Blue Gourami, Neon","Easy, good for freshwater beginners with a tank that has completed the aquarium nitrogen cycle.",8 cm,6 - 8,25°C - 28°C,3 - 4 years,"Mostly peaceful and hardy, they are good fish for beginners. They have a labyrinth organ that allows them to breathe air. You may see this behavior at the surface of the tank with them.",Middle to top,The male is more colourful while females are usually gray.
